Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Control Number),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Dev Team Approval),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Sprint,Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Systems Team Approval),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Test Team Approval),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Verification Method),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment,Comment,Comment
SSW Central Repository ,SSWCYBER-2124,86756,Epic,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,jcabral7,jcabral7,jcabral7,16/Oct/25 11:48 AM,27/Mar/26 4:53 AM,18/Sep/26 3:20 PM,15/Jan/26 11:06 AM,,PI 14-C,,,,,,SSW PHC Cyber ,,,,0,Now we have confirmation that no systems will be added to the UIS008 network. We need to come up with a solution of having a repo that mirrors Red Hat CRN for security patches and rpms. Additionally we need a repo that can link or mirror to fresh clam so we can get new anti virus signatures at least weekly or monthly.,,jcabral7,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,,ghx-label-13,,SSW Central Repository ,Done,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,SSWCYBER-2324,,,,,,,,,,,,,,"1|i07kc8:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,2.7,0.0,,,100.0,86.0,2.7,0.0,21.5,3.0,18.5,,,,,,
Config SELINUX for SSW ,SSWCYBER-2123,86755,Task,Cancelled,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Won't Do,jcabral7,jcabral7,jcabral7,16/Oct/25 11:46 AM,07/Apr/26 2:40 PM,18/Sep/26 3:20 PM,21/Oct/25 1:48 PM,,,,,,,,Environment Management,,,,0,"Research, configure and deploy a proper configuration of  SELINUX for the SSW environment. Deploy config system wide in AAP playbook.",,jcabral7,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcabral7,,,,,,,,,,,,,,Kanban,,,,,"Posted on: Tue Oct 21 13:48:26 EDT 2025
building this ticket out properly.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07kc0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"21/Oct/25 1:48 PM;jcabral7;building this ticket out properly.;;;",,,,,
Configure FAPOLICY in SSW,SSWCYBER-2122,86754,Task,Cancelled,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Won't Do,jcabral7,jcabral7,jcabral7,16/Oct/25 11:37 AM,07/Apr/26 2:40 PM,18/Sep/26 3:20 PM,21/Oct/25 1:48 PM,,PI 14-K,,,,,,Environment Management,,,,0,Research and configure a functioning FAPOLICY in the SSW environment. Deploy FAPOLICY config via a AAP playbook to satisfy STIG compliance across the network segment. ,,jcabral7,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWCYBER-2350,,,Done,,,,,,Kanban,,,,,"Posted on: Tue Oct 21 13:48:32 EDT 2025
building this ticket out properly.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07kbs:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"21/Oct/25 1:48 PM;jcabral7;building this ticket out properly.;;;",,,,,
AAP SSW Firewall,SSWCYBER-2121,86753,Task,Cancelled,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Won't Do,jcabral7,jcabral7,jcabral7,16/Oct/25 11:35 AM,07/Apr/26 2:40 PM,18/Sep/26 3:20 PM,21/Oct/25 1:48 PM,,PI 14-K,,,,,,Environment Management,,,,0,Create a playbook in AAP for all servers to have a configured firewall to meet STIG compliance . Deploy playbook so that all servers are running a SSW specific firewall and not the default configured one.,,jcabral7,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcabral7,,,,,SSWCYBER-2350,,,Done,,,,,,Kanban,,,,,"Posted on: Tue Oct 21 13:48:38 EDT 2025
building this ticket out properly.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07kbk:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"21/Oct/25 1:48 PM;jcabral7;building this ticket out properly.;;;",,,,,
Central Logging Server part 1,SSWCYBER-2120,86749,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,jcabral7,jcabral7,jcabral7,16/Oct/25 11:13 AM,03/Mar/26 8:01 AM,18/Sep/26 3:20 PM,09/Jan/26 8:37 AM,,PI 17-K,,,,,,SSW PHC Cyber ,,,,0,Research how to send logs to a different server other than its own. Document on confluence of findings and implement solution by sending server 7 and 8 logs to server 9.,,jcabral7,,,,"Research central logging solution, this will be done with the help of rsyslog, reviewed redhat documentation provided in the comments. Plan out which server would be beneficial/ ideal to server as our log server which would be server 9. This will server as our one stop shop for repos,logs and etc.;08/Jan/26 8:43 AM;jcabral7;18000","Prototype logging from server 7 to server 9, having issues that logs are not being saved to custom directory that I created. Will work on this issue on part 2.;09/Jan/26 8:37 AM;jcabral7;21600",,,,,,57600,18000,39600,68%,57600,18000,39600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logs from Server 7 & 8 sent to server 9.,,,,,,,,,jcabral7,,,,,SSWCYBER-2394,,,Done,,,,,,Sprint,,,,,"Posted on: Fri Jan 09 08:37:07 EST 2026
Prototype logging from server 7 to server 9, having issues that logs are not being saved to custom directory that I created. Will work on this issue on part 2.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07kao:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 17.1,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"21/Oct/25 1:49 PM;jcabral7;Need network to mature with test, idms all interconnected with ssw. Define server that will have sufficent storage for logs.;;;","07/Jan/26 9:46 AM;jcabral7;https://docs.redhat.com/en/documentation/red_hat_enterprise_linux/8/html/configuring_basic_system_settings/configuring-logging_configuring-basic-system-settings  < review this;;;","09/Jan/26 8:37 AM;jcabral7;Prototype logging from server 7 to server 9, having issues that logs are not being saved to custom directory that I created. Will work on this issue on part 2.;;;",,,
Central Logging Server,SSWCYBER-2119,86748,Task,Cancelled,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Won't Do,jcabral7,jcabral7,jcabral7,16/Oct/25 11:13 AM,07/Apr/26 2:40 PM,18/Sep/26 3:20 PM,16/Oct/25 11:43 AM,,,,,,,,Environment Management,,,,0,Once the environment is matured with IDMS and test joining the network segment. We need a log server to be configured and operational so that we have a centrally managed log server that the servers can send their logs too. This will satisfy multiple STIGS particularly V-230479.,,jcabral7,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcabral7,,,,,,,,,,,,,,Kanban,,,,,"Posted on: Thu Oct 16 11:43:50 EDT 2025
duplicate ticket",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07kag:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"16/Oct/25 11:43 AM;jcabral7;duplicate ticket;;;",,,,,
Configure AIDE for SSW,SSWCYBER-2118,86747,Task,Cancelled,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Won't Do,jcabral7,jcabral7,jcabral7,16/Oct/25 11:09 AM,21/Oct/25 1:49 PM,18/Sep/26 3:20 PM,21/Oct/25 1:49 PM,,PI 14-C,,,,,,,,,,0,Configure AIDE successfully with AAP to run weekly integrity checks on our system. Deploy a successful aide configuration via a playbook in the entirety of the SSW ENV. Re-run Eval-STIG to confirm STIG was remediated.,,jcabral7,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcabral7,,,,,SSWCYBER-1885,,,Done,,,,,,Sprint,,,,,"Posted on: Tue Oct 21 13:49:28 EDT 2025
building this ticket out properly.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07ka8:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"21/Oct/25 1:49 PM;jcabral7;building this ticket out properly.;;;",,,,,
CLAMAV for SSW environment: PI14,SSWCYBER-2117,86746,Epic,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,jcabral7,jcabral7,jcabral7,16/Oct/25 11:06 AM,07/Apr/26 2:40 PM,18/Sep/26 3:20 PM,24/Feb/26 4:22 PM,,PI 14-K,,,,,,Environment Management,,,,0,Install and configure CLAM AV 1.5.0 in the SSW environment now that it is FIPS 140-3 supported as of Oct 07 2025.,,jcabral7,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,,ghx-label-10,,CLAMAV for SSW environment: PI14,Done,,,,,,,Kanban,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07ka0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,5.5,0.0,,,100.0,70.5,5.5,0.0,44.0,13.0,31.0,,,,,,
Update ZTA 0028 Watch Item with possible closure recommendation,SSWCYBER-2116,86735,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,dcatapan,ereyburn,ereyburn,16/Oct/25 8:35 AM,22/Oct/25 10:06 AM,18/Sep/26 3:20 PM,16/Oct/25 2:41 PM,,PI 14-C,,,,,,SSW PHC Cyber ,,,20/Oct/25 12:00 AM,0,"Based on the comment on the Cyber Spec from NUWC, there will be no other overlays imposed on the program. So, we can discuss the retirement of the watch item",,dcatapan,ereyburn,,,"Updated watch item;16/Oct/25 2:40 PM;dcatapan;1200",,,,,,,5760,4560,1200,20%,5760,4560,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,,SSWCYBER-1981,,,Done,,,,,,SOS,Sprint,,,,"Posted on: Thu Oct 16 14:41:01 EDT 2025
Updated watch item, added some context about cyber spec comment on ZTOs and conversation during MES-PHC tag-up. Also added  C2I Action Item response. We will discuss the closure of the watch item during the risk meeting.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07k80:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 85,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"16/Oct/25 2:41 PM;dcatapan;Updated watch item, added some context about cyber spec comment on ZTOs and conversation during MES-PHC tag-up. Also added  C2I Action Item response. We will discuss the closure of the watch item during the risk meeting.;;;",,,,,
Update Risk 0020 for Risk Board: Review Requirements with MES Merger impacts,SSWCYBER-2115,86733,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,ereyburn,ereyburn,ereyburn,16/Oct/25 8:29 AM,22/Oct/25 10:06 AM,18/Sep/26 3:20 PM,20/Oct/25 4:32 PM,,PI 14-C,,,,,,SSW PHC Cyber ,,,20/Oct/25 12:00 AM,0,Look at any of the difficult to implement requirements to see if there is any possible removal due to MES PaaS Merger,,ereyburn,,,,";20/Oct/25 4:32 PM;ereyburn;9000",,,,,,,14400,5400,9000,62%,14400,5400,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ereyburn,,,,,SSWCYBER-1981,,,Done,,,,,,SOS,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07k7k:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 85,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Update SSP to Reflect Changes in Network Segment Design,SSWCYBER-2109,86479,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,High,Done,dcatapan,jcabral7,dcatapan,08/Oct/25 2:37 PM,02/Dec/25 1:53 PM,18/Sep/26 3:20 PM,02/Dec/25 1:53 PM,,PI 14-C,,,,,,SSW PHC Cyber ,,,,0,,,dcatapan,,,,"fully updated SSP for current state of the lab. Changes are noted in page history revision comments.;02/Dec/25 1:53 PM;dcatapan;21600",,,,,,,14400,0,21600,150%,14400,0,21600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,,SSWCYBER-2143,,,Done,,,,,,Sprint,,,,,"Posted on: Thu Nov 13 06:48:57 EST 2025
Moving into Sprint 88 as this is 'blocked' by some tasking I have planned for next sprint that should be done before updating SSP.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|hzwv72:tzzri",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 88,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"13/Nov/25 6:48 AM;dcatapan;Moving into Sprint 88 as this is 'blocked' by some tasking I have planned for next sprint that should be done before updating SSP.;;;",,,,,
