Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Original),Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Deadline),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original Need Date),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment
Create initial In Tube GUI following the UMS System Visual Design,SSWGUI-506,110908,Story,UI Design,SSWGUI,SSWGUI,software,kbassi,,,Medium,,csherida,kbassi,kbassi,15/Sep/26 10:43 AM,18/Sep/26 8:31 AM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,Design Ahead,,,,0,"This task is dedicated to producing a 1:1 recreation of the images presented by GDMS during the an in person HMI IPT demo. 

The UI Design portion of this board is the key workflow to be followed. 

The tasks output will include updating the Jira plan",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- One to one mapping to UI Design provided by GMDS. 
- Should be in a format that allows SW to go in and use.
- mockup created and given to SW
- one sw and one sys reviewer 
- presented to operators and feedback incorporated
- tasking backlog re-evaluated and updated",,,,,,,,csherida,,,,,SSWGUI-507,,,In Progress,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aucq:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Prototype 2D animations using Motion,SSWGUI-505,110869,Task,In Progress,SSWGUI,SSWGUI,software,kbassi,,,Medium,,pabram,pabram,pabram,14/Sep/26 3:03 PM,16/Sep/26 3:22 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,Experimental,TCS,,,0,"* Install Motion library from npm
 * Create 5-7 animations (low fidelity), some examples are:
 ** Animate tube valves
 ** Animate water level
 ** Animate tray
 ** Animate hatch
 * Animate multiple objects (in sequential order or simultaneously)",,pabram,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-503,,,,,,,,,,,,,"Provide proof that Motion is the animation library we can use for our GUI apps.
Motion must be able to animate SVGs (scalable vector graphics).
",,,,,,,,,,,,,SSWGUI-502,,,To Do,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0auck:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Initial Integrated In Tube GUI Design + implementation,SSWGUI-502,110584,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,kbassi,kbassi,kbassi,08/Sep/26 2:26 PM,15/Sep/26 11:38 AM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,,,,,0,"{+}*Summary*{+}:

The HMI IPT has been going back and forth on if integrated screens make sense. A mockup has been produced for in tube GUi operations, 

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-4,,Initial Integrated In Tube GUI Design + implementation,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0ass4:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,08/Sep/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Documentation of the final ,SSWGUI-501,110438,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,amessier,kbassi,kbassi,03/Sep/26 10:27 AM,10/Sep/26 5:06 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,,,,,0,This essential is a GUI Goons train arc page that will be used to give guidance on how to put this all together per new story.,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-488,,,To Do,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arx0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,23/Oct/26 12:00 AM,14/Oct/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
SSWGUI Confluence Space SDD vision documentation,SSWGUI-500,110437,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,amessier,kbassi,kbassi,03/Sep/26 10:25 AM,10/Sep/26 5:07 PM,18/Sep/26 3:22 PM,,,,PI 19,,,,,,,,,,0,"# What is included
 # What is excluded and how are we retaining that information for devs?
 # How are we going to export things automatically per release
 # Why are we doing this
 # How to include non visual stuff 
 # Front end components organized separately from HLD

Refernece the SDD proposal from SSWSW space.",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-488,,,To Do,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arws:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,100%,18/Sep/26 12:00 AM,09/Sep/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
SDD Automation ESTAP,SSWGUI-499,110436,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,amessier,kbassi,kbassi,03/Sep/26 10:22 AM,10/Sep/26 5:06 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,,,,,0,build tooling to generate SDD docs automatically,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'- Storybook mdx runs statically with conditional rendering,,,,,,,,,,,,,SSWGUI-488,,,To Do,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arwk:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,06/Oct/26 12:00 AM,27/Sep/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
SDD Automation CCL,SSWGUI-498,110418,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,amessier,amessier,amessier,03/Sep/26 9:03 AM,10/Sep/26 5:06 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,Common,,,,0,build tooling to generate SDD docs automatically,,amessier,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'- Storybook mdx runs statically with conditional rendering,,,,,,,,,,,,,SSWGUI-488,,,To Do,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aruk:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,10/Oct/26 12:00 AM,06/Oct/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
SDD Automation TCAP,SSWGUI-497,110417,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,amessier,amessier,amessier,03/Sep/26 9:02 AM,10/Sep/26 5:06 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,TCS,,,,0,build tooling to generate SDD docs automatically,,amessier,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'- Storybook mdx runs statically with conditional rendering,,,,,,,,,,,,,SSWGUI-488,,,To Do,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aruc:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,14/Oct/26 12:00 AM,10/Oct/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Prototype filtering out stories ,SSWGUI-496,110410,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,amessier,amessier,amessier,03/Sep/26 8:57 AM,10/Sep/26 5:06 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,,,,,0,How to make storybook exclude certain content for certain builds,,amessier,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'- Storybook mdx runs with conditional rendering,,,,,,,,,,,,,SSWGUI-488,,,To Do,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aru4:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,7%,27/Sep/26 12:00 AM,18/Sep/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create HEDAD-O for ECB page(s),SSWGUI-495,110392,Task,Selected For Development,SSWGUI,SSWGUI,software,kbassi,,,Low,,csherida,kbassi,kbassi,02/Sep/26 11:33 AM,15/Sep/26 10:35 AM,18/Sep/26 3:22 PM,,,,PI 19,,,,,,Common,EST,TCS,,0,"Populate the HEDAD-O. 

Get concurence on level of detail from SYS and SW. 

See if they cooked up a way to have common elements documented (that are not things in the MES style Guide).",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csherida,,,,,SSWGUI-5,,,In Progress,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arro:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
delete,SSWGUI-490,110359,Story,Cancelled,SSWGUI,SSWGUI,software,kbassi,,,Medium,Won't Do,,amessier,amessier,02/Sep/26 8:20 AM,03/Sep/26 10:20 AM,18/Sep/26 3:22 PM,03/Sep/26 10:20 AM,,,,,,,,,,,,,0,,,amessier,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arl8:",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
delete,SSWGUI-489,110356,Story,Cancelled,SSWGUI,SSWGUI,software,kbassi,,,Medium,Won't Do,,amessier,amessier,02/Sep/26 8:18 AM,03/Sep/26 10:20 AM,18/Sep/26 3:22 PM,03/Sep/26 10:20 AM,,,,,,,,,,,,,0,,,amessier,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arkk:",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create Initial Version of GUI SDD,SSWGUI-488,110346,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,amessier,amessier,amessier,02/Sep/26 8:12 AM,10/Sep/26 5:47 PM,18/Sep/26 3:22 PM,,,,ESTAP GUI SDD,PI 20,TCAP GUI SDD,,,,Common,EST,TCS,,0,"*Two-part effort*:
1. Discovery - figure out what's actually needed in SDD documentation
2. Automation - build tooling to generate SDD docs automatically

*current documentation flow*:
*SRS -> drives design/implementation of code -> SDD

*The problem*: 
SDDs are subject to the PTR/CCB process for any change. That creates a mismatch; code evolves constantly, but SDD changes carry process overhead. The fix os to make the SDD generic enough that routine code changes don't force PTR/CCB. It should stay a high-level document that gves the customer enough understanding without gating day-to-day development. 

*Steps*:
* How to make storybook exclude certain content for certian builds
* How to run storybook statically
* Add stories for non visual components 
* GUI architecture with external interfaces",,amessier,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-5,,Create Initial Version of GUI SDD,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aric:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Support T10 Bottom Hatch FST,SSWGUI-419,109981,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,26/Aug/26 2:43 PM,26/Aug/26 2:43 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-13,,Support T10 Bottom Hatch FST,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i07xbl:r8o",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Support T10 Tray FST,SSWGUI-418,109980,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,26/Aug/26 2:43 PM,26/Aug/26 2:43 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-10,,Support T10 Tray FST,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i07xbl:r8u",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Support RTR FQT,SSWGUI-417,109979,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,26/Aug/26 2:43 PM,26/Aug/26 2:43 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Support RTR FQT,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i07xbl:r8x",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Support SQT,SSWGUI-416,109978,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,26/Aug/26 2:43 PM,26/Aug/26 2:43 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-4,,Support SQT,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i07xbl:r8yi",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Support ITF,SSWGUI-415,109977,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,26/Aug/26 2:43 PM,26/Aug/26 2:43 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-1,,Support ITF,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i07xbl:r8zc",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Support Dockside testing ,SSWGUI-414,109976,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,26/Aug/26 2:43 PM,26/Aug/26 2:43 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-12,,Support Dockside testing ,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i07xbl:r8zo",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Lab Configs Updates A,SSWGUI-413,109975,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,26/Aug/26 2:43 PM,26/Aug/26 2:43 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,Lab Configs Updates A,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i07xbl:r8zu",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
